pair,days,regime_0,regime_1,regime_2,regime_3,avg_conf
ABNB_APD,1231,0.2737611697806661,0.1364744110479285,0.2770105605199025,0.31275385865150285,0.9214399544068909
APP_COF,1146,0.1719022687609075,0.3054101221640489,0.29668411867364747,0.22600349040139617,0.9452337354717364
CRM_CI,3985,0.2519447929736512,0.26524466750313674,0.38444165621079046,0.09836888331242158,0.9218997685746534
HON_SHW,3985,0.37892095357590966,0.1520702634880803,0.38042659974905896,0.08858218318695106,0.8794570859013837
HON_SYK,3985,0.4203262233375157,0.3217063989962359,0.17164366373902132,0.0863237139272271,0.9057107978654098
JPM_ANET,2872,0.43941504178272983,0.33147632311977715,0.1733983286908078,0.055710306406685235,0.9115080989419806
LIN_QCOM,3985,0.09084065244667504,0.4112923462986198,0.16938519447929737,0.3284818067754078,0.8561353795370205
MA_AON,3985,0.3616060225846926,0.16260978670012546,0.34604767879548304,0.12973651191969887,0.9046374721078003
MA_NSC,3985,0.35257214554579674,0.36662484316185695,0.1606022584692597,0.12020075282308658,0.8989183605084419
MA_UBER,1632,0.16237745098039216,0.31985294117647056,0.13480392156862744,0.38296568627450983,0.902975766390134
MCK_DELL,2318,0.34814495254529765,0.38481449525452976,0.17040552200172562,0.09663503019844694,0.9106067609481889
MRK_UNP,3985,0.40075282308657467,0.38695106649937266,0.10564617314930991,0.10664993726474278,0.8640739196671285
NEE_TMO,3985,0.20627352572145546,0.3141781681304893,0.04215809284818068,0.43739021329987454,0.8825735606825655
ORCL_PWR,3985,0.3656210790464241,0.15608531994981178,0.12220828105395232,0.3560853199498118,0.9210263336504243
SCHW_HLT,2992,0.43014705882352944,0.12098930481283422,0.1824866310160428,0.26637700534759357,0.8772427475442923
SYK_INTU,3985,0.4020075282308658,0.1028858218318695,0.36762860727728985,0.1274780426599749,0.8995769420144607
TMO_HON,3985,0.34429109159347554,0.411543287327478,0.15181932245922208,0.09234629861982434,0.8891473387235145
TXN_SPGI,3985,0.328732747804266,0.1944792973651192,0.08180677540777917,0.3949811794228356,0.8956678434543617
UBER_ECL,1632,0.36151960784313725,0.0821078431372549,0.20220588235294118,0.3541666666666667,0.9106400058287949
