,signal,regime,z_r,z_r,max_prob
,<lambda>,<lambda>,mean,std,mean
pair,,,,,
ABNB_APD,22,4,-0.0,1.0,0.913
AMZN_DASH,20,4,-0.0,1.0,0.92
APP_COF,3,4,-0.0,1.0,0.946
CRM_CI,46,4,0.0,1.0,0.915
HON_SHW,60,4,-0.0,1.0,0.88
HON_SYK,43,4,-0.0,1.0,0.905
INTU_MRSH,64,4,-0.0,1.0,0.887
JPM_ANET,35,4,-0.0,1.0,0.907
LIN_QCOM,48,4,0.0,1.0,0.859
MA_NSC,64,4,0.0,1.0,0.899
MA_UBER,27,4,-0.0,1.0,0.904
MCK_DELL,36,4,-0.0,1.0,0.91
MRK_UNP,62,4,-0.0,1.0,0.864
NEE_TMO,51,4,0.0,1.0,0.883
SCHW_HLT,53,4,-0.0,1.0,0.899
SYK_INTU,65,4,0.0,1.0,0.9
TMO_HON,65,4,0.0,1.0,0.889
TXN_SPGI,42,4,0.0,1.0,0.894
UBER_ECL,13,4,-0.0,1.0,0.91
